review_index,old_relative_path,old_sha256,old_format,archive_decision,archive_folder,sequence_in_destination,new_filename,new_relative_path,action,destination_exists,fb_selected,photo_selected,reason
11,IMG_3883.JPG,e3d0d6372f4fe5d9e5a93b4b5a3812792634af50839cca448031054a48fb3ccb,JPEG,保留,01_260712_D1_抵達_博多,11,260712_D1_IMG3883_福岡機場_抵達同行_0011.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3883_福岡機場_抵達同行_0011.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
12,IMG_3884.JPG,b7d05a53c15ae369fa5b832e6c62a6374755e20005fbf02240356fd7b3d93bf9,JPEG,保留,01_260712_D1_抵達_博多,12,260712_D1_IMG3884_福岡機場_抵達同行_0012.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3884_福岡機場_抵達同行_0012.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
13,IMG_3885.JPG,04159d0402a9700372a4be417a2a081dd1d516fa4f3437d77d1a79b4cbd4c405,JPEG,保留,01_260712_D1_抵達_博多,13,260712_D1_IMG3885_福岡機場_抵達同行_0013.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3885_福岡機場_抵達同行_0013.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
14,IMG_3886.JPG,265513f935a0621bcd359cd3e804b55123ec0cc372653f73dd2f07692d3c4a98,JPEG,保留,01_260712_D1_抵達_博多,14,260712_D1_IMG3886_福岡機場_抵達同行_0014.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3886_福岡機場_抵達同行_0014.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
15,IMG_3887.JPG,25a81521473f645ebdd53438665cea04206ded507eb8b575097ca22c5e8652dc,JPEG,保留,01_260712_D1_抵達_博多,15,260712_D1_IMG3887_福岡機場_抵達同行_0015.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3887_福岡機場_抵達同行_0015.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
16,IMG_3888.JPG,dc4e05736a911b996e4281227c555b3d31778b6059f4f201b14b642ac2fde4c0,JPEG,保留,01_260712_D1_抵達_博多,16,260712_D1_IMG3888_福岡機場_抵達同行_0016.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3888_福岡機場_抵達同行_0016.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
17,IMG_3889.JPG,01b64fa47037c1684caa4a0b17253793c3514efba162d49590a5ef56fc31d581,JPEG,保留,01_260712_D1_抵達_博多,17,260712_D1_IMG3889_福岡機場_抵達同行_0017.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3889_福岡機場_抵達同行_0017.JPG,move_and_rename,no,是,是,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
18,IMG_3890.JPG,def369c94c3d5b6bfcc04f952f7b0952ad4a414be15daec0031d866d16d21c03,JPEG,保留,01_260712_D1_抵達_博多,18,260712_D1_IMG3890_福岡機場_抵達同行_0018.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3890_福岡機場_抵達同行_0018.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
19,IMG_3891.JPG,cefbef5bf63015b15d9b6a6a5049f8041c5e30011ca1ac56198cfe96f17bcb6c,JPEG,保留,01_260712_D1_抵達_博多,19,260712_D1_IMG3891_福岡機場_抵達同行_0019.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3891_福岡機場_抵達同行_0019.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
20,IMG_3892.JPG,e0455a849722dcfbe780f7bb47d69e625d5febe4d1e0d11fa47c90b7e227ca3c,JPEG,保留,01_260712_D1_抵達_博多,20,260712_D1_IMG3892_福岡機場_抵達同行_0020.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3892_福岡機場_抵達同行_0020.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
21,IMG_3893.JPG,ab2aace5aa122dfb51e69819a40fb48cdb586d7102fb4f84400c1fe808cbecc1,JPEG,保留,01_260712_D1_抵達_博多,1,260712_D1_IMG3893_博多住宿_訂房資訊_0001.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3893_博多住宿_訂房資訊_0001.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
22,IMG_3894.JPG,a2a831e7fd12e44243d6b7050a1a199c480bc2d7f6b498890627188d2ae0ec34,JPEG,保留,01_260712_D1_抵達_博多,2,260712_D1_IMG3894_博多住宿_訂房資訊_0002.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3894_博多住宿_訂房資訊_0002.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
23,IMG_3895.JPG,72806d7e9729842895e0eb410ffdae174ad3a167940c9ad9958448d64b012075,JPEG,保留,01_260712_D1_抵達_博多,3,260712_D1_IMG3895_博多住宿_訂房資訊_0003.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3895_博多住宿_訂房資訊_0003.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
24,IMG_3896.JPG,a07ee46e274504973a133ee839c9da670594418bee4a62fd13b59fb5b6f57794,JPEG,保留,01_260712_D1_抵達_博多,4,260712_D1_IMG3896_博多住宿_訂房資訊_0004.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3896_博多住宿_訂房資訊_0004.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
25,IMG_3897.JPG,71a43559b4dfc476b8fd041f5c99dae8eeff42a94d5891c4145d69a2ff6813f7,JPEG,保留,01_260712_D1_抵達_博多,5,260712_D1_IMG3897_博多住宿_訂房資訊_0005.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3897_博多住宿_訂房資訊_0005.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
26,IMG_3898.JPG,8ccdd559fd2759f4f57e733568e6512ec1fd38be9910621b6de2813be5721f29,JPEG,保留,01_260712_D1_抵達_博多,6,260712_D1_IMG3898_博多住宿_訂房資訊_0006.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3898_博多住宿_訂房資訊_0006.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
27,IMG_3899.JPG,64076f41e15666c0108be2cb86bd66e92fea9b4be2af61b20f091bc060afbf93,JPEG,保留,01_260712_D1_抵達_博多,7,260712_D1_IMG3899_博多住宿_訂房資訊_0007.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3899_博多住宿_訂房資訊_0007.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
28,IMG_3900.JPG,c28b630bc3a8ed7fb67cc41a596842a727fcdf9c0e3c795ee592af514e94960a,JPEG,保留,01_260712_D1_抵達_博多,8,260712_D1_IMG3900_博多住宿_訂房資訊_0008.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3900_博多住宿_訂房資訊_0008.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
29,IMG_3901.JPG,189fe73c3f532d4e561dc14c11f2e540410f84183497b766558493cfb88c1e72,JPEG,淘汰候選,_審核後刪除,1,260712_D1_IMG3901_淘汰_待審核_0001.JPG,_審核後刪除/260712_D1_IMG3901_淘汰_待審核_0001.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
30,IMG_3902.JPG,335b7d7da01961c92c661a3c83a679e2674c949d583743b49945d2d133cf97ca,JPEG,淘汰候選,_審核後刪除,2,260712_D1_IMG3902_淘汰_待審核_0002.JPG,_審核後刪除/260712_D1_IMG3902_淘汰_待審核_0002.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
31,IMG_3903.JPG,65433231901ddee9cc7313b948e2dd64b46d88e0e1e922841b0ed3fe3f01bd18,JPEG,淘汰候選,_審核後刪除,3,260712_D1_IMG3903_淘汰_待審核_0003.JPG,_審核後刪除/260712_D1_IMG3903_淘汰_待審核_0003.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
32,IMG_3904.JPG,fa2a8cc02797f78223c002550082dcf07205d83aaee75f31dd6eb1a7d2a54c3e,JPEG,淘汰候選,_審核後刪除,4,260712_D1_IMG3904_淘汰_待審核_0004.JPG,_審核後刪除/260712_D1_IMG3904_淘汰_待審核_0004.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
33,IMG_3905.JPG,d7736b71b3866249cf2b5b726aef3f4f3e4619870b1843ac8fa7bd71cfa81f38,JPEG,淘汰候選,_審核後刪除,5,260712_D1_IMG3905_淘汰_待審核_0005.JPG,_審核後刪除/260712_D1_IMG3905_淘汰_待審核_0005.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
34,IMG_3906.JPG,770b1b9ae33631e981ebd8ad3cf1aa13be58c65a28022ca2aa3935f05024921f,JPEG,淘汰候選,_審核後刪除,6,260712_D1_IMG3906_淘汰_待審核_0006.JPG,_審核後刪除/260712_D1_IMG3906_淘汰_待審核_0006.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
35,IMG_3907.JPG,7a445fdbd98f2e1a39c029e8eb88bb6112549720ee4df274fff8edc46a54b7f9,JPEG,淘汰候選,_審核後刪除,7,260712_D1_IMG3907_淘汰_待審核_0007.JPG,_審核後刪除/260712_D1_IMG3907_淘汰_待審核_0007.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
36,IMG_3908.JPG,bad78df4e5a346f5563f371f463869dfa39c1fc79a9377809eb0b0a3867807bf,JPEG,淘汰候選,_審核後刪除,8,260712_D1_IMG3908_淘汰_待審核_0008.JPG,_審核後刪除/260712_D1_IMG3908_淘汰_待審核_0008.JPG,move_to_review,no,否,否,僅移入既有 _審核後刪除；保留可回復性，不永久刪除
37,IMG_3909.JPG,9dcce56e27a1a3daa1474015169f45fefc17a398a2e4999186e1ffdf0e230b0f,JPEG,保留,01_260712_D1_抵達_博多,1,260712_D1_IMG3909_博多_商場食品_0001.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3909_博多_商場食品_0001.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
38,IMG_3910.JPG,6db21052bb4f79b42f414f9f348e310efd57effba036357afd56987ab0c7e97a,JPEG,保留,01_260712_D1_抵達_博多,2,260712_D1_IMG3910_博多_商場食品_0002.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3910_博多_商場食品_0002.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
39,IMG_3911.JPG,2dccb9080986522d2772ae3f767dbec6158bee6a338e513b9a54984ca1ece332,JPEG,保留,01_260712_D1_抵達_博多,3,260712_D1_IMG3911_博多_商場食品_0003.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3911_博多_商場食品_0003.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
40,IMG_3912.JPG,e6523616e99f80a3665c003dde94af1f39116c35772b338968cc1f7f5ec8451b,JPEG,保留,01_260712_D1_抵達_博多,4,260712_D1_IMG3912_博多_商場食品_0004.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3912_博多_商場食品_0004.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
41,IMG_3913.JPG,7f57456b3267d47502ba68a94c1cb8323991934e763e827ac92c064556f11ab7,JPEG,保留,01_260712_D1_抵達_博多,5,260712_D1_IMG3913_博多_商場食品_0005.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3913_博多_商場食品_0005.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
42,IMG_3914.JPG,62754bce5dae8fdebec3dd1f42d6bc734d6144fa721e4e3133f84c4ff99ee4a2,JPEG,保留,01_260712_D1_抵達_博多,6,260712_D1_IMG3914_博多_商場食品_0006.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3914_博多_商場食品_0006.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
43,IMG_3915.JPG,b20871cb66bf79905587e42ffec6cb61544b35553b99702b3e29ccb382f5df4f,JPEG,保留,01_260712_D1_抵達_博多,7,260712_D1_IMG3915_博多_商場食品_0007.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3915_博多_商場食品_0007.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
44,IMG_3916.JPG,5bbe83746ed1ba0f11daa42c80daabd56aa7cc8096cd97cffbdfc5d8eeb0bcb0,JPEG,保留,01_260712_D1_抵達_博多,8,260712_D1_IMG3916_博多_商場食品_0008.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3916_博多_商場食品_0008.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
45,IMG_3917.JPG,5550fffafd5855194f776065a7d723d7d8dcd4ddd3aeb8af875ece9484632471,JPEG,保留,01_260712_D1_抵達_博多,9,260712_D1_IMG3917_博多_商場食品_0009.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3917_博多_商場食品_0009.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
46,IMG_3918.JPG,af63a7a2de0043824be48d2b758561342ed60650f1fd6b355339a6078ffe3075,JPEG,保留,01_260712_D1_抵達_博多,10,260712_D1_IMG3918_博多_商場食品_0010.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3918_博多_商場食品_0010.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
47,IMG_3919.JPG,023546f6f2d16a429741410c7738b992802e21ce436e34eba805271d7e7488be,JPEG,保留,01_260712_D1_抵達_博多,11,260712_D1_IMG3919_博多_商場食品_0011.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3919_博多_商場食品_0011.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
48,IMG_3920.JPG,575a77fd7a834787a6fedb0d893667fd96b710d4112356b32a60f0e8a3483967,JPEG,保留,01_260712_D1_抵達_博多,12,260712_D1_IMG3920_博多_商場食品_0012.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3920_博多_商場食品_0012.JPG,move_and_rename,no,是,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
49,IMG_3921.JPG,3df7e1ecbc1d866359c08f2aa0fc65860dfc61d7fd766e712bc13fbe955c3e52,JPEG,保留,01_260712_D1_抵達_博多,13,260712_D1_IMG3921_博多_商場食品_0013.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3921_博多_商場食品_0013.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
50,IMG_3922.JPG,1234b4de3d60410c1014ad1a7f9b41933916417368400b74aecea39302142e8a,JPEG,保留,01_260712_D1_抵達_博多,14,260712_D1_IMG3922_博多_商場食品_0014.JPG,01_260712_D1_抵達_博多/260712_D1_IMG3922_博多_商場食品_0014.JPG,move_and_rename,no,否,否,依 D1 日期／行程分類，保留原始 IMG 編號以便回溯
51,IMG_3923.JPG,132a5d1db4021ea6081460f147a20653f426a4dd6505588835db3a3a1c3ecd4f,JPEG,保留,02_260713_D2_太宰府_天滿宮,1,260713_D2_IMG3923_太宰府_車站表參道_0001.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3923_太宰府_車站表參道_0001.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
52,IMG_3924.JPG,33f187eed9ddc5e0b7037a7834b3110cac9344edb1ae253f2dc5e742948e73c7,JPEG,保留,02_260713_D2_太宰府_天滿宮,2,260713_D2_IMG3924_太宰府_車站表參道_0002.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3924_太宰府_車站表參道_0002.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
53,IMG_3925.JPG,a9f6ffef61fd134bc5abae80b862d5defee5556e805b3c01eb23449b5abf31d0,JPEG,保留,02_260713_D2_太宰府_天滿宮,3,260713_D2_IMG3925_太宰府_車站表參道_0003.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3925_太宰府_車站表參道_0003.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
54,IMG_3926.JPG,816ffbc57905064e7250c0a021810af4e33c14860875eada574d66657c85b4d3,JPEG,保留,02_260713_D2_太宰府_天滿宮,4,260713_D2_IMG3926_太宰府_車站表參道_0004.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3926_太宰府_車站表參道_0004.JPG,move_and_rename,no,是,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
55,IMG_3927.JPG,0d5852a5d60e179ad89ef483a970980860a549dc4e93fb4385def5d7d0327b3f,JPEG,保留,02_260713_D2_太宰府_天滿宮,5,260713_D2_IMG3927_太宰府_車站表參道_0005.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3927_太宰府_車站表參道_0005.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
56,IMG_3928.JPG,c472c68dfd574e1c5480577345aee13838cd79b6adfc7c85003b95c9c7b4b669,JPEG,保留,02_260713_D2_太宰府_天滿宮,6,260713_D2_IMG3928_太宰府_車站表參道_0006.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3928_太宰府_車站表參道_0006.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
57,IMG_3929.JPG,a9aa5a68bd2ed8c9970f37c598d797077eb9e2e8542c22324faff60b82e7caf0,JPEG,保留,02_260713_D2_太宰府_天滿宮,7,260713_D2_IMG3929_太宰府_車站表參道_0007.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3929_太宰府_車站表參道_0007.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
58,IMG_3930.JPG,fc8545e29dcc31ce2cab76cbb0f3ac0fa91d7a9222d238343a089767bb13cc59,JPEG,保留,02_260713_D2_太宰府_天滿宮,8,260713_D2_IMG3930_太宰府_車站表參道_0008.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3930_太宰府_車站表參道_0008.JPG,move_and_rename,no,是,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
59,IMG_3931.JPG,9a714e95c4f8f0fc177d6c65d432790debde5f49d678781ca7556f00086e1e2a,JPEG,保留,02_260713_D2_太宰府_天滿宮,9,260713_D2_IMG3931_太宰府_車站表參道_0009.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3931_太宰府_車站表參道_0009.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
60,IMG_3932.JPG,7f621353c0004132cf0eca6a2d45c3377cc145b441264dd7a63dc86c2ae24c82,JPEG,保留,02_260713_D2_太宰府_天滿宮,10,260713_D2_IMG3932_太宰府_車站表參道_0010.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3932_太宰府_車站表參道_0010.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
61,IMG_3933.JPG,4ebcb2f15485be285063b82b4dd92bf0060ca6cc0ddb4758921de38c7327ff07,JPEG,保留,02_260713_D2_太宰府_天滿宮,11,260713_D2_IMG3933_太宰府_車站表參道_0011.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3933_太宰府_車站表參道_0011.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
62,IMG_3934.JPG,da35e194453a5f5ac27fbcc20682ea96b4176e99a45e8ce3998db5166937e291,JPEG,保留,02_260713_D2_太宰府_天滿宮,12,260713_D2_IMG3934_太宰府_車站表參道_0012.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3934_太宰府_車站表參道_0012.JPG,move_and_rename,no,是,是,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
63,IMG_3936.JPG,c8d86bd443dc8cad3dbec06e154c216a755423c98841b9979f8f811bf2ec0139,JPEG,保留,02_260713_D2_太宰府_天滿宮,13,260713_D2_IMG3936_太宰府_車站表參道_0013.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3936_太宰府_車站表參道_0013.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
64,IMG_3937.JPG,8dedcb89a141b92b7ebbecc84ae955c6f76ca1034a69376eb8be178fd0b48019,JPEG,保留,02_260713_D2_太宰府_天滿宮,14,260713_D2_IMG3937_太宰府_車站表參道_0014.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3937_太宰府_車站表參道_0014.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
65,IMG_3938.JPG,665f69e89223b3102719f034ebfeb6b496fd11b575b289ccaaf325f141ae01d9,JPEG,保留,02_260713_D2_太宰府_天滿宮,15,260713_D2_IMG3938_太宰府_車站表參道_0015.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3938_太宰府_車站表參道_0015.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
66,IMG_3939.JPG,3225e6939fc2654dd93f04e5e327b9c9251b349e337b40ae23ae45b2e79a2290,JPEG,保留,02_260713_D2_太宰府_天滿宮,16,260713_D2_IMG3939_太宰府_車站表參道_0016.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3939_太宰府_車站表參道_0016.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
67,IMG_3940.JPG,805db6e9f970984d3f08ec61a4f0a39e4ab9b2d6ca15cefffde63e96ff720420,JPEG,保留,02_260713_D2_太宰府_天滿宮,17,260713_D2_IMG3940_太宰府_車站表參道_0017.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3940_太宰府_車站表參道_0017.JPG,move_and_rename,no,是,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
68,IMG_3941.JPG,13e00d7875ab7e250621356442b43428d8ad40439ecf1e064be6d3670faa02a3,JPEG,保留,02_260713_D2_太宰府_天滿宮,18,260713_D2_IMG3941_太宰府_車站表參道_0018.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3941_太宰府_車站表參道_0018.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
69,IMG_3942.JPG,f87f7ce4965e18c1cde3501454f68838b59d302d2f7e04d5f92f211dc3666eef,JPEG,保留,02_260713_D2_太宰府_天滿宮,19,260713_D2_IMG3942_太宰府_車站表參道_0019.JPG,02_260713_D2_太宰府_天滿宮/260713_D2_IMG3942_太宰府_車站表參道_0019.JPG,move_and_rename,no,否,否,依 D2 日期／行程分類，保留原始 IMG 編號以便回溯
