review_index,relative_path,format,size_bytes,width,height,captured_at,capture_time_source,sha256,trip_date,trip_day,itinerary,scene,archive_folder,classification_status,classification_confidence,classification_evidence,archive_decision,fb_selected,photo_selected,photo_score,photo_reason,review_note
11,IMG_3883.JPG,JPEG,2238954,3672,4896,,unavailable,e3d0d6372f4fe5d9e5a93b4b5a3812792634af50839cca448031054a48fb3ccb,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
12,IMG_3884.JPG,JPEG,3040846,5712,4284,,unavailable,b7d05a53c15ae369fa5b832e6c62a6374755e20005fbf02240356fd7b3d93bf9,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
13,IMG_3885.JPG,JPEG,3443528,5712,4284,,unavailable,04159d0402a9700372a4be417a2a081dd1d516fa4f3437d77d1a79b4cbd4c405,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
14,IMG_3886.JPG,JPEG,2251267,5712,4284,,unavailable,265513f935a0621bcd359cd3e804b55123ec0cc372653f73dd2f07692d3c4a98,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
15,IMG_3887.JPG,JPEG,3635696,5712,4284,,unavailable,25a81521473f645ebdd53438665cea04206ded507eb8b575097ca22c5e8652dc,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
16,IMG_3888.JPG,JPEG,3290031,5712,4284,,unavailable,dc4e05736a911b996e4281227c555b3d31778b6059f4f201b14b642ac2fde4c0,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
17,IMG_3889.JPG,JPEG,3836912,5712,4284,,unavailable,01b64fa47037c1684caa4a0b17253793c3514efba162d49590a5ef56fc31d581,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,是,是,5,人物與抵達場景，敘事清楚,完成目視檢視；保留作旅程總帳
18,IMG_3890.JPG,JPEG,3661893,5712,4284,,unavailable,def369c94c3d5b6bfcc04f952f7b0952ad4a414be15daec0031d866d16d21c03,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
19,IMG_3891.JPG,JPEG,1803929,4032,3024,,unavailable,cefbef5bf63015b15d9b6a6a5049f8041c5e30011ca1ac56198cfe96f17bcb6c,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
20,IMG_3892.JPG,JPEG,5649987,5712,4284,,unavailable,e0455a849722dcfbe780f7bb47d69e625d5febe4d1e0d11fa47c90b7e227ca3c,260712,D1,抵達／福岡機場・博多,機場／交通／同行人物,01_260712_D1_抵達_博多,classified,high,序列開端＋福岡機場與同行人物畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
21,IMG_3893.JPG,JPEG,3591419,5712,4284,,unavailable,ab2aace5aa122dfb51e69819a40fb48cdb586d7102fb4f84400c1fe808cbecc1,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
22,IMG_3894.JPG,JPEG,4417606,5712,4284,,unavailable,a2a831e7fd12e44243d6b7050a1a199c480bc2d7f6b498890627188d2ae0ec34,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
23,IMG_3895.JPG,JPEG,3582303,5712,4284,,unavailable,72806d7e9729842895e0eb410ffdae174ad3a167940c9ad9958448d64b012075,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
24,IMG_3896.JPG,JPEG,3729962,5712,4284,,unavailable,a07ee46e274504973a133ee839c9da670594418bee4a62fd13b59fb5b6f57794,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
25,IMG_3897.JPG,JPEG,2681189,5712,4284,,unavailable,71a43559b4dfc476b8fd041f5c99dae8eeff42a94d5891c4145d69a2ff6813f7,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
26,IMG_3898.JPG,JPEG,3780253,5712,4284,,unavailable,8ccdd559fd2759f4f57e733568e6512ec1fd38be9910621b6de2813be5721f29,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
27,IMG_3899.JPG,JPEG,3234153,5712,4284,,unavailable,64076f41e15666c0108be2cb86bd66e92fea9b4be2af61b20f091bc060afbf93,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
28,IMG_3900.JPG,JPEG,2836647,4192,3144,,unavailable,c28b630bc3a8ed7fb67cc41a596842a727fcdf9c0e3c795ee592af514e94960a,260712,D1,住宿／博多,住宿／房間／市區,01_260712_D1_抵達_博多,classified,high,緊接抵達段的住宿與博多市區畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
29,IMG_3901.JPG,JPEG,3679929,5712,4284,,unavailable,189fe73c3f532d4e561dc14c11f2e540410f84183497b766558493cfb88c1e72,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
30,IMG_3902.JPG,JPEG,4353013,5712,4284,,unavailable,335b7d7da01961c92c661a3c83a679e2674c949d583743b49945d2d133cf97ca,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
31,IMG_3903.JPG,JPEG,2971841,4192,3144,,unavailable,65433231901ddee9cc7313b948e2dd64b46d88e0e1e922841b0ed3fe3f01bd18,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
32,IMG_3904.JPG,JPEG,3655045,5712,4284,,unavailable,fa2a8cc02797f78223c002550082dcf07205d83aaee75f31dd6eb1a7d2a54c3e,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
33,IMG_3905.JPG,JPEG,3302899,5712,4284,,unavailable,d7736b71b3866249cf2b5b726aef3f4f3e4619870b1843ac8fa7bd71cfa81f38,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
34,IMG_3906.JPG,JPEG,4175176,5712,4284,,unavailable,770b1b9ae33631e981ebd8ad3cf1aa13be58c65a28022ca2aa3935f05024921f,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
35,IMG_3907.JPG,JPEG,4208202,5712,4284,,unavailable,7a445fdbd98f2e1a39c029e8eb88bb6112549720ee4df274fff8edc46a54b7f9,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
36,IMG_3908.JPG,JPEG,3534931,5712,4284,,unavailable,bad78df4e5a346f5563f371f463869dfa39c1fc79a9377809eb0b0a3867807bf,260712,D1,住宿／博多,螢幕截圖／訂房資訊,01_260712_D1_抵達_博多,classified,high,與住宿段連續的訂房／交通截圖,淘汰候選,否,否,,,螢幕截圖或明顯非旅遊照片；僅列候選，未刪除
37,IMG_3909.JPG,JPEG,4290624,5712,4284,,unavailable,9dcce56e27a1a3daa1474015169f45fefc17a398a2e4999186e1ffdf0e230b0f,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
38,IMG_3910.JPG,JPEG,6579753,5712,4284,,unavailable,6db21052bb4f79b42f414f9f348e310efd57effba036357afd56987ab0c7e97a,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
39,IMG_3911.JPG,JPEG,6233038,5712,4284,,unavailable,2dccb9080986522d2772ae3f767dbec6158bee6a338e513b9a54984ca1ece332,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
40,IMG_3912.JPG,JPEG,2718674,5712,4284,,unavailable,e6523616e99f80a3665c003dde94af1f39116c35772b338968cc1f7f5ec8451b,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
41,IMG_3913.JPG,JPEG,5761156,5712,4284,,unavailable,7f57456b3267d47502ba68a94c1cb8323991934e763e827ac92c064556f11ab7,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
42,IMG_3914.JPG,JPEG,3737563,5712,4284,,unavailable,62754bce5dae8fdebec3dd1f42d6bc734d6144fa721e4e3133f84c4ff99ee4a2,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
43,IMG_3915.JPG,JPEG,3545077,5712,4284,,unavailable,b20871cb66bf79905587e42ffec6cb61544b35553b99702b3e29ccb382f5df4f,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
44,IMG_3916.JPG,JPEG,3930589,5712,4284,,unavailable,5bbe83746ed1ba0f11daa42c80daabd56aa7cc8096cd97cffbdfc5d8eeb0bcb0,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
45,IMG_3917.JPG,JPEG,4322583,5712,4284,,unavailable,5550fffafd5855194f776065a7d723d7d8dcd4ddd3aeb8af875ece9484632471,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
46,IMG_3918.JPG,JPEG,5041917,5712,4284,,unavailable,af63a7a2de0043824be48d2b758561342ed60650f1fd6b355339a6078ffe3075,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
47,IMG_3919.JPG,JPEG,6409145,5712,4284,,unavailable,023546f6f2d16a429741410c7738b992802e21ce436e34eba805271d7e7488be,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
48,IMG_3920.JPG,JPEG,4872035,5712,4284,,unavailable,575a77fd7a834787a6fedb0d893667fd96b710d4112356b32a60f0e8a3483967,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,是,否,,,完成目視檢視；保留作旅程總帳
49,IMG_3921.JPG,JPEG,5215433,5712,4284,,unavailable,3df7e1ecbc1d866359c08f2aa0fc65860dfc61d7fd766e712bc13fbe955c3e52,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
50,IMG_3922.JPG,JPEG,5488494,5712,4284,,unavailable,1234b4de3d60410c1014ad1a7f9b41933916417368400b74aecea39302142e8a,260712,D1,博多／市區購物與餐食,商場／食品／住宿,01_260712_D1_抵達_博多,classified,high,D1 序列尾端的博多購物與食品畫面,保留,否,否,,,完成目視檢視；保留作旅程總帳
51,IMG_3923.JPG,JPEG,6673086,5712,4284,,unavailable,132a5d1db4021ea6081460f147a20653f426a4dd6505588835db3a3a1c3ecd4f,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
52,IMG_3924.JPG,JPEG,3949716,5712,4284,,unavailable,33f187eed9ddc5e0b7037a7834b3110cac9344edb1ae253f2dc5e742948e73c7,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
53,IMG_3925.JPG,JPEG,2013671,4032,3024,,unavailable,a9f6ffef61fd134bc5abae80b862d5defee5556e805b3c01eb23449b5abf31d0,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
54,IMG_3926.JPG,JPEG,5209103,5712,4284,,unavailable,816ffbc57905064e7250c0a021810af4e33c14860875eada574d66657c85b4d3,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,是,否,,,完成目視檢視；保留作旅程總帳
55,IMG_3927.JPG,JPEG,5066130,5712,4284,,unavailable,0d5852a5d60e179ad89ef483a970980860a549dc4e93fb4385def5d7d0327b3f,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
56,IMG_3928.JPG,JPEG,3013729,5712,4284,,unavailable,c472c68dfd574e1c5480577345aee13838cd79b6adfc7c85003b95c9c7b4b669,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
57,IMG_3929.JPG,JPEG,5795858,5712,4284,,unavailable,a9aa5a68bd2ed8c9970f37c598d797077eb9e2e8542c22324faff60b82e7caf0,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
58,IMG_3930.JPG,JPEG,2319182,4032,3024,,unavailable,fc8545e29dcc31ce2cab76cbb0f3ac0fa91d7a9222d238343a089767bb13cc59,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,是,否,,,完成目視檢視；保留作旅程總帳
59,IMG_3931.JPG,JPEG,4844081,5712,4284,,unavailable,9a714e95c4f8f0fc177d6c65d432790debde5f49d678781ca7556f00086e1e2a,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
60,IMG_3932.JPG,JPEG,4311214,5712,4284,,unavailable,7f621353c0004132cf0eca6a2d45c3377cc145b441264dd7a63dc86c2ae24c82,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
61,IMG_3933.JPG,JPEG,4626109,5712,4284,,unavailable,4ebcb2f15485be285063b82b4dd92bf0060ca6cc0ddb4758921de38c7327ff07,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
62,IMG_3934.JPG,JPEG,3073452,5712,4284,,unavailable,da35e194453a5f5ac27fbcc20682ea96b4176e99a45e8ce3998db5166937e291,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,是,是,4,寺社入口與人物比例，畫面有旅遊敘事,完成目視檢視；保留作旅程總帳
63,IMG_3936.JPG,JPEG,5928575,5712,4284,,unavailable,c8d86bd443dc8cad3dbec06e154c216a755423c98841b9979f8f811bf2ec0139,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
64,IMG_3937.JPG,JPEG,5870342,5712,4284,,unavailable,8dedcb89a141b92b7ebbecc84ae955c6f76ca1034a69376eb8be178fd0b48019,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
65,IMG_3938.JPG,JPEG,6172503,5712,4284,,unavailable,665f69e89223b3102719f034ebfeb6b496fd11b575b289ccaaf325f141ae01d9,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
66,IMG_3939.JPG,JPEG,4895224,5712,4284,,unavailable,3225e6939fc2654dd93f04e5e327b9c9251b349e337b40ae23ae45b2e79a2290,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
67,IMG_3940.JPG,JPEG,3268761,5712,4284,,unavailable,805db6e9f970984d3f08ec61a4f0a39e4ab9b2d6ca15cefffde63e96ff720420,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,是,否,,,完成目視檢視；保留作旅程總帳
68,IMG_3941.JPG,JPEG,3919329,5712,4284,,unavailable,13e00d7875ab7e250621356442b43428d8ad40439ecf1e064be6d3670faa02a3,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
69,IMG_3942.JPG,JPEG,2739146,5712,4284,,unavailable,f87f7ce4965e18c1cde3501454f68838b59d302d2f7e04d5f92f211dc3666eef,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
70,IMG_3943.JPG,JPEG,3737197,5712,4284,,unavailable,1eb5bb631976fe5ce0a4aa27cf6c223c1e10f0629f2730a17e5c45de41564936,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
71,IMG_3944.JPG,JPEG,2773886,5712,4284,,unavailable,43e23908764ebc127fdc32b71333521af9489ae4d2c9a22c535658c1331156c4,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
72,IMG_3945.JPG,JPEG,4550064,5712,4284,,unavailable,0ff86f16a3e08cf2cdafb274d5b5452874ebd1370482954d9cbee8153dbc5521,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,是,否,,,完成目視檢視；保留作旅程總帳
73,IMG_3946.JPG,JPEG,4273819,5712,4284,,unavailable,8a708b84ec61bca0bb23ca156376efa3c715e66551777bcda109f75095bd2755,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
74,IMG_3947.JPG,JPEG,4237712,5712,4284,,unavailable,ed08d2a06d1a98ddbb4cb3b6f40800aca4aef7786deceb7863e79e4826f8270e,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
75,IMG_3948.JPG,JPEG,4835768,5712,4284,,unavailable,da2de991b04217e7892f02077fa52f2203b59aaeabd0144f92c55d94ab7cc341,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
76,IMG_3949.JPG,JPEG,5100683,5712,4284,,unavailable,ab73e70e3d138f1f4ec397fa2e1fbd77e1491c7322873a2335cf3b72592e4d9f,260713,D2,太宰府／交通與表參道,超市／車站／太宰府交通,02_260713_D2_太宰府_天滿宮,classified,high,畫面出現太宰府站牌與列車，且為 D1 後第一個明確轉場,保留,否,否,,,完成目視檢視；保留作旅程總帳
